States,Economic,Landmass,Pop in 1972,Pop in 2022,Life Expectancy,Infant Mortality,Educational Attainment,Aircraft Movements,Official Language,Continent
Aruba,2860000000,180,59800,107657,76.29,12.698,N/A,274280,Dutch,South America
Barbados,4160000000,430,241000,288017,79.19,11.4,1.1,N/A,English,North America
Tuvalu,70000000,26,5786,12080,66.16,30.8,N/A,N/A,Tuvaluan,OCeania
Singapore,4.92E+11,728.6,2152000,5453600,83.9,0.8,33,7884373,English,Asia
Saint Helena,47768924,121.7,5919,6127,78.6,16.98,N/A,N/A,English,Africa
Kuwait,2.48E+11,17818,870000,3068155,79.13,7.43,11.1,1823594,Arabic,Asia
Guyana,12090000000,214969,721949,794128,67,25.12,N/A,17990,English,South America
Niue,24938000,261.5,4724,1648,73.6,0,N/A,N/A,Niue,Oceania
Malta,20380000000,316,302600,525285,82.6,6.1,21.8,549319,Maltese,Europe
Mayotte,N/A,374,40200,286145,60.6,65.98,N/A,N/A,French,Africa
Macau,25158000000,118,243900,666932,84.55,4.35,N/A,544411,Chinese,Asia
Cote d Ivoire,1.40E+11,322462,5416000,28713423,62.26,55.67,N/A,322841,French,Africa
Dominica,773300000,750,72000,74027,77.4,0,5,N/A,English,North America
Jersey,672089,119.5,69329,103267,78.48,3.94,44,679000,English,Europe
Uganda,1.03E+11,241038,9930000,46205893,68.96,30.45,1.7,6159,English,Africa
Mauritius,28330000000,2040,828000,1308222,74.86,12.08,N/A,407291,English,Africa
Samoa,1277000000,2831,146647,206179,75.19,18,3.9,11957,Samoan,Oceania
Nauru,2.24E+11,21,6798,10960,59.7,23.8,N/A,9356,Nauruan,Oceania
Isle of Man,86482,572,57166,86381,80.6,3.9,N/A,N/A,English,Europe
Saint Lucia,2240000000,617,104192,167122,78.95,11.99,N/A,N/A,English,North America
Gibraltar,2044000000,6.8,29000,33671,79.93,4.39,N/A,N/A,English,Europe
Gambia,5408000000,11300,492424,2173999,65.1,60.2,2,109542,English,Africa
Faroe Islands,54833,1393,48300,48865,79.85,5.4,N/A,N/A,Faroese,Europe
Bhutan,8088000000,38394,316822,867775,71.31,27.04,10.2,48825,Tsangla,Asia
Bermuda,5525000,53.2,52976,61819,81.87,0,31.1,N/A,English,North America
Qatar,2.54E+11,11571,130505,2508182,79.81,6.62,19,10640789,Arabic,Asia
Luxembourg,45170000000,2856,347000,650364,82.98,3.25,N/A,753114,French,Europe
Papua New Guinea,37970000000,462840,2918000,9593498,69.43,33.59,N/A,1501149,Tok Pisin,Oceania
The Solomon Islands,1841000000,28896,172550,702694,76.2,14.41,N/A,138661,English,Oceania
Suriname,8802000000,163820,372000,632638,72.42,30.25,9.2,89027,Dutch,South America
Mongolia,35850000000,1564000,1301400,3296866,68.63,13.4,23.7,143860,Mongolian,Asia
Hong Kong,4.68E+11,1114,3936630,7276588,83.61,2.55,N/A,5878548,Chinese,Asia
Albania,38530000000,28748,2243126,3095344,79.47,10.82,12.9,124714,Albanian,Europe
